,date,topic,volume,percentage,state,state_abbrev
0,2025-11-30,Adidas - New York State,715680,23.01710330809754,New York,NY
1,2025-11-30,New Balance - New York State,847010,27.24082924350505,New York,NY
2,2025-11-30,Nike - New York State,1546650,49.74206744839741,New York,NY
3,2025-10-31,Adidas - New York State,639500,25.477377124940737,New York,NY
4,2025-10-31,New Balance - New York State,711880,28.36096204488321,New York,NY
5,2025-10-31,Nike - New York State,1158690,46.16166083017605,New York,NY
6,2025-09-30,Adidas - New York State,822160,29.7775089550563,New York,NY
7,2025-09-30,New Balance - New York State,767890,27.811923897414356,New York,NY
8,2025-09-30,Nike - New York State,1170960,42.41056714752935,New York,NY
9,2025-08-31,Adidas - New York State,950970,24.946681671873893,New York,NY
10,2025-08-31,New Balance - New York State,1049170,27.5227504649778,New York,NY
11,2025-08-31,Nike - New York State,1811870,47.53056786314831,New York,NY
12,2025-07-31,Adidas - New York State,706120,25.29853286279849,New York,NY
13,2025-07-31,New Balance - New York State,744930,26.68899915805313,New York,NY
14,2025-07-31,Nike - New York State,1340100,48.01246797914838,New York,NY
15,2025-06-30,Adidas - New York State,646840,25.17043862652928,New York,NY
16,2025-06-30,New Balance - New York State,782950,30.46687731531924,New York,NY
17,2025-06-30,Nike - New York State,1140050,44.36268405815148,New York,NY
18,2025-05-31,Adidas - New York State,730740,26.37193691580353,New York,NY
19,2025-05-31,New Balance - New York State,850780,30.70410335991916,New York,NY
20,2025-05-31,Nike - New York State,1189380,42.92395972427731,New York,NY
21,2025-04-30,Adidas - New York State,688530,24.68406844556297,New York,NY
22,2025-04-30,New Balance - New York State,879650,31.535794821052782,New York,NY
23,2025-04-30,Nike - New York State,1221190,43.78013673338424,New York,NY
24,2025-03-31,Adidas - New York State,745390,24.20623966901891,New York,NY
25,2025-03-31,New Balance - New York State,992990,32.246949823500564,New York,NY
26,2025-03-31,Nike - New York State,1340950,43.54681050748052,New York,NY
27,2025-02-28,Adidas - New York State,496360,22.556486648610328,New York,NY
28,2025-02-28,New Balance - New York State,657060,29.859305982222384,New York,NY
29,2025-02-28,Nike - New York State,1047100,47.58420736916729,New York,NY
30,2025-01-31,Adidas - New York State,545480,23.25278041835225,New York,NY
31,2025-01-31,New Balance - New York State,723950,30.860618874873712,New York,NY
32,2025-01-31,Nike - New York State,1076440,45.88660070677403,New York,NY
33,2024-12-31,Adidas - New York State,833430,22.914432768603906,New York,NY
34,2024-12-31,New Balance - New York State,1008950,27.740202466773344,New York,NY
35,2024-12-31,Nike - New York State,1794760,49.34536476462275,New York,NY
36,2024-11-30,Adidas - New York State,923810,25.797974833423627,New York,NY
37,2024-11-30,New Balance - New York State,992530,27.71702402162561,New York,NY
38,2024-11-30,Nike - New York State,1664600,46.485001144950765,New York,NY
39,2024-10-31,Adidas - New York State,812510,25.859643539147044,New York,NY
40,2024-10-31,New Balance - New York State,904140,28.77593889242521,New York,NY
41,2024-10-31,Nike - New York State,1425350,45.36441756842776,New York,NY
42,2024-09-30,Adidas - New York State,1010430,27.55956196216946,New York,NY
43,2024-09-30,New Balance - New York State,1006720,27.458371404803145,New York,NY
44,2024-09-30,Nike - New York State,1649200,44.982066633027394,New York,NY
45,2024-08-31,Adidas - New York State,1486670,33.70423017368219,New York,NY
46,2024-08-31,New Balance - New York State,1209810,27.42754929232611,New York,NY
47,2024-08-31,Nike - New York State,1714450,38.868220533991696,New York,NY
48,2024-07-31,Adidas - New York State,1169890,33.01705477113078,New York,NY
49,2024-07-31,New Balance - New York State,902880,25.481402876987207,New York,NY
50,2024-07-31,Nike - New York State,1470520,41.50154235188201,New York,NY
51,2024-06-30,Adidas - New York State,1167020,33.54055118223388,New York,NY
52,2024-06-30,New Balance - New York State,914380,26.279591772215564,New York,NY
53,2024-06-30,Nike - New York State,1398030,40.17985704555056,New York,NY
54,2024-05-31,Adidas - New York State,1072330,32.58311911663719,New York,NY
55,2024-05-31,New Balance - New York State,1037170,31.51477031716225,New York,NY
56,2024-05-31,Nike - New York State,1181560,35.902110566200555,New York,NY
57,2024-04-30,Adidas - New York State,976350,30.582328122210285,New York,NY
58,2024-04-30,New Balance - New York State,1070510,33.53171309275089,New York,NY
59,2024-04-30,Nike - New York State,1145670,35.885958785038824,New York,NY
60,2024-03-31,Adidas - New York State,920740,26.72289443362521,New York,NY
61,2024-03-31,New Balance - New York State,1206570,35.01861843384579,New York,NY
62,2024-03-31,Nike - New York State,1318200,38.258487132529,New York,NY
63,2024-02-29,Adidas - New York State,676650,25.303651294631507,New York,NY
64,2024-02-29,New Balance - New York State,869610,32.51948304488953,New York,NY
65,2024-02-29,Nike - New York State,1127860,42.17686566047896,New York,NY
66,2024-01-31,Adidas - New York State,578790,22.533374341564823,New York,NY
67,2024-01-31,New Balance - New York State,815200,31.73725662717678,New York,NY
68,2024-01-31,Nike - New York State,1174600,45.72936903125839,New York,NY
69,2023-12-31,Adidas - New York State,741390,20.803881348370098,New York,NY
70,2023-12-31,New Balance - New York State,1018270,28.573312643284662,New York,NY
71,2023-12-31,Nike - New York State,1804050,50.62280600834524,New York,NY
72,2023-11-30,Adidas - New York State,795540,22.409956224612245,New York,NY
73,2023-11-30,New Balance - New York State,952380,26.82805906578703,New York,NY
74,2023-11-30,Nike - New York State,1802020,50.761984709600725,New York,NY
75,2023-10-31,Adidas - New York State,694720,24.73501504281416,New York,NY
76,2023-10-31,New Balance - New York State,824980,29.37283036334182,New York,NY
77,2023-10-31,Nike - New York State,1288950,45.89215459384402,New York,NY
78,2023-09-30,Adidas - New York State,751830,24.468774104100422,New York,NY
79,2023-09-30,New Balance - New York State,922280,30.016175173549524,New York,NY
80,2023-09-30,Nike - New York State,1398500,45.51505072235005,New York,NY
81,2023-08-31,Adidas - New York State,815550,24.02407267756988,New York,NY
82,2023-08-31,New Balance - New York State,925600,27.26587170665033,New York,NY
83,2023-08-31,Nike - New York State,1653570,48.7100556157798,New York,NY
84,2023-07-31,Adidas - New York State,635100,24.399145588099703,New York,NY
85,2023-07-31,New Balance - New York State,740540,28.4499185542613,New York,NY
86,2023-07-31,Nike - New York State,1227320,47.150935857639,New York,NY
87,2023-06-30,Adidas - New York State,708230,26.61918364278734,New York,NY
88,2023-06-30,New Balance - New York State,770590,28.963015861083967,New York,NY
89,2023-06-30,Nike - New York State,1181780,44.4178004961287,New York,NY
90,2023-05-31,Adidas - New York State,716270,25.211897219288986,New York,NY
91,2023-05-31,New Balance - New York State,810560,28.53079901443154,New York,NY
92,2023-05-31,Nike - New York State,1314170,46.25730376627948,New York,NY
93,2023-04-30,Adidas - New York State,677250,22.706394335219805,New York,NY
94,2023-04-30,New Balance - New York State,921850,30.90718289837191,New York,NY
95,2023-04-30,Nike - New York State,1383540,46.38642276640828,New York,NY
96,2023-03-31,Adidas - New York State,603420,20.376861513524467,New York,NY
97,2023-03-31,New Balance - New York State,896370,30.26947624354169,New York,NY
98,2023-03-31,Nike - New York State,1461510,49.35366224293385,New York,NY
99,2023-02-28,Adidas - New York State,475660,20.34125898049949,New York,NY
100,2023-02-28,New Balance - New York State,646530,27.64839206294902,New York,NY
101,2023-02-28,Nike - New York State,1216210,52.01034895655149,New York,NY
102,2023-01-31,Adidas - New York State,480490,19.897466902432058,New York,NY
103,2023-01-31,New Balance - New York State,617290,25.562461953843545,New York,NY
104,2023-01-31,Nike - New York State,1317050,54.5400711437244,New York,NY
105,2022-12-31,Adidas - New York State,593090,18.847939594052203,New York,NY
106,2022-12-31,New Balance - New York State,620570,19.72123265251644,New York,NY
107,2022-12-31,Nike - New York State,1933050,61.43082775343136,New York,NY
108,2022-11-30,Adidas - New York State,685350,21.7957524758143,New York,NY
109,2022-11-30,New Balance - New York State,674660,21.455785168647957,New York,NY
110,2022-11-30,Nike - New York State,1784410,56.74846235553774,New York,NY
111,2022-10-31,Adidas - New York State,666210,25.09473478028311,New York,NY
112,2022-10-31,New Balance - New York State,616770,23.232433572650088,New York,NY
113,2022-10-31,Nike - New York State,1371800,51.6728316470668,New York,NY
114,2022-09-30,Adidas - New York State,565650,21.459137916644536,New York,NY
115,2022-09-30,New Balance - New York State,577030,21.89086246272677,New York,NY
116,2022-09-30,Nike - New York State,1493260,56.6499996206287,New York,NY
117,2022-08-31,Adidas - New York State,658650,23.882994539164997,New York,NY
118,2022-08-31,New Balance - New York State,544990,19.761623311166066,New York,NY
119,2022-08-31,Nike - New York State,1554180,56.35538214966894,New York,NY
120,2022-07-31,Adidas - New York State,524500,23.06346079431526,New York,NY
121,2022-07-31,New Balance - New York State,446640,19.63977908326591,New York,NY
122,2022-07-31,Nike - New York State,1303020,57.29676012241882,New York,NY
123,2022-06-30,Adidas - New York State,537170,24.73351965853681,New York,NY
124,2022-06-30,New Balance - New York State,450860,20.75945170662529,New York,NY
125,2022-06-30,Nike - New York State,1183800,54.50702863483791,New York,NY
126,2022-05-31,Adidas - New York State,514040,21.889318503125583,New York,NY
127,2022-05-31,New Balance - New York State,486650,20.72297262770614,New York,NY
128,2022-05-31,Nike - New York State,1347670,57.38770886916827,New York,NY
129,2022-04-30,Adidas - New York State,497100,20.74318262429844,New York,NY
130,2022-04-30,New Balance - New York State,502520,20.96935049761105,New York,NY
131,2022-04-30,Nike - New York State,1396830,58.28746687809051,New York,NY
132,2022-03-31,Adidas - New York State,501280,20.95599608705467,New York,NY
133,2022-03-31,New Balance - New York State,484590,20.258271113600827,New York,NY
134,2022-03-31,Nike - New York State,1406190,58.7857327993445,New York,NY
135,2022-02-28,Adidas - New York State,386230,20.49596162214368,New York,NY
136,2022-02-28,New Balance - New York State,328740,17.445155538574202,New York,NY
137,2022-02-28,Nike - New York State,1169450,62.05888283928211,New York,NY
138,2022-01-31,Adidas - New York State,388120,19.59885271067302,New York,NY
139,2022-01-31,New Balance - New York State,324020,16.362002100670598,New York,NY
140,2022-01-31,Nike - New York State,1268180,64.03914518865638,New York,NY
141,2021-12-31,Adidas - New York State,549520,20.25357511425623,New York,NY
142,2021-12-31,New Balance - New York State,366650,13.513563320064868,New York,NY
143,2021-12-31,Nike - New York State,1797030,66.2328615656789,New York,NY
144,2025-11-30,Adidas - California State,1345040,25.96281540504648,California,CA
145,2025-11-30,New Balance - California State,1498300,28.92113715679916,California,CA
146,2025-11-30,Nike - California State,2337300,45.11604743815436,California,CA
147,2025-10-31,Adidas - California State,972840,26.39534410483904,California,CA
148,2025-10-31,New Balance - California State,1070240,29.03802585704014,California,CA
149,2025-10-31,Nike - California State,1642570,44.56663003812082,California,CA
150,2025-09-30,Adidas - California State,1031930,28.17833288732817,California,CA
151,2025-09-30,New Balance - California State,1118690,30.54743947527948,California,CA
152,2025-09-30,Nike - California State,1511520,41.27422763739234,California,CA
153,2025-08-31,Adidas - California State,1524220,29.19626096617247,California,CA
154,2025-08-31,New Balance - California State,1627940,31.1830057847757,California,CA
155,2025-08-31,Nike - California State,2068440,39.62073324905183,California,CA
156,2025-07-31,Adidas - California State,1312450,27.627559988295992,California,CA
157,2025-07-31,New Balance - California State,1526420,32.13170796398702,California,CA
158,2025-07-31,Nike - California State,1911640,40.24073204771698,California,CA
159,2025-06-30,Adidas - California State,1010590,25.292002132297554,California,CA
160,2025-06-30,New Balance - California State,1305890,32.682465356421545,California,CA
161,2025-06-30,Nike - California State,1679210,42.02553251128091,California,CA
162,2025-05-31,Adidas - California State,1136820,26.88935301589253,California,CA
163,2025-05-31,New Balance - California State,1343240,31.7718324317548,California,CA
164,2025-05-31,Nike - California State,1747710,41.33881455235266,California,CA
165,2025-04-30,Adidas - California State,1067430,26.07067754013438,California,CA
166,2025-04-30,New Balance - California State,1256050,30.6774912868158,California,CA
167,2025-04-30,Nike - California State,1770890,43.25183117304982,California,CA
168,2025-03-31,Adidas - California State,1201340,25.659460129093997,California,CA
169,2025-03-31,New Balance - California State,1524610,32.564194572242656,California,CA
170,2025-03-31,Nike - California State,1955910,41.77634529866335,California,CA
171,2025-02-28,Adidas - California State,973260,25.62518759577258,California,CA
172,2025-02-28,New Balance - California State,1208900,31.82940764495558,California,CA
173,2025-02-28,Nike - California State,1615900,42.54540475927184,California,CA
174,2025-01-31,Adidas - California State,1084280,26.07094081212611,California,CA
175,2025-01-31,New Balance - California State,1361370,32.73342374055052,California,CA
176,2025-01-31,Nike - California State,1713310,41.19563544732337,California,CA
177,2024-12-31,Adidas - California State,1617380,25.49319395494581,California,CA
178,2024-12-31,New Balance - California State,1814980,28.607771311842328,California,CA
179,2024-12-31,Nike - California State,2912000,45.89903473321186,California,CA
180,2024-11-30,Adidas - California State,1743870,30.57688362559462,California,CA
181,2024-11-30,New Balance - California State,1525860,26.75431290689661,California,CA
182,2024-11-30,Nike - California State,2433500,42.668803467508766,California,CA
183,2024-10-31,Adidas - California State,1311010,29.469441703325234,California,CA
184,2024-10-31,New Balance - California State,1260210,28.3275376457445,California,CA
185,2024-10-31,Nike - California State,1877490,42.20302065093027,California,CA
186,2024-09-30,Adidas - California State,1389040,29.842434763179494,California,CA
187,2024-09-30,New Balance - California State,1318830,28.334027989636013,California,CA
188,2024-09-30,Nike - California State,1946710,41.8235372471845,California,CA
189,2024-08-31,Adidas - California State,2139640,36.65920223693025,California,CA
190,2024-08-31,New Balance - California State,1565880,26.82877100762948,California,CA
191,2024-08-31,Nike - California State,2131050,36.51202675544027,California,CA
192,2024-07-31,Adidas - California State,2020820,34.59301230806101,California,CA
193,2024-07-31,New Balance - California State,1430610,24.48961774825821,California,CA
194,2024-07-31,Nike - California State,2390270,40.917369943680775,California,CA
195,2024-06-30,Adidas - California State,1660610,31.018566945606697,California,CA
196,2024-06-30,New Balance - California State,1326960,24.786312014345487,California,CA
197,2024-06-30,Nike - California State,2366030,44.195121040047816,California,CA
198,2024-05-31,Adidas - California State,1488700,31.79420370330821,California,CA
199,2024-05-31,New Balance - California State,1293340,27.62189522243342,California,CA
200,2024-05-31,Nike - California State,1900260,40.58390107425838,California,CA
201,2024-04-30,Adidas - California State,1466880,31.674069403628025,California,CA
202,2024-04-30,New Balance - California State,1339730,28.928542895207904,California,CA
203,2024-04-30,Nike - California State,1824560,39.397387701164064,California,CA
204,2024-03-31,Adidas - California State,1485210,30.30094684720893,California,CA
205,2024-03-31,New Balance - California State,1512520,30.85811981156904,California,CA
206,2024-03-31,Nike - California State,1903800,38.840933341222026,California,CA
207,2024-02-29,Adidas - California State,1187900,28.048195957225264,California,CA
208,2024-02-29,New Balance - California State,1240610,29.292762342363183,California,CA
209,2024-02-29,Nike - California State,1806700,42.65904170041155,California,CA
210,2024-01-31,Adidas - California State,1175910,26.77561411018917,California,CA
